State1,State2,State2Abbr,State1Abbr,dyadid,S1region,S2region,Border,Distance,State1_Lat,State1_Long,State2_Lat,State2_Long,ACS_Migration,PopDif,State1_Pop,State2_Pop,IncomingFlights,IRS_migration,Income,IRS_migration_2010,Income_2010,Imports,GSPDif,S1GSP,S2GSP,DemDif,S1AvgDem,S2AvgDem,S1SenDemProp,S1HSDemProp,S2SenDemProp,S2HSDemProp,IdeologyDif,PIDDif,S1Ideology,S1PID,S2Ideology,S2PID,policy_diffusion_tie,policy_diffusion_2015,LibDif,ELibDif,SLibDif,S1EconomicLiberalism,S1SocialLiberalism,S2EconomicLiberalism,S2SocialLiberalism,MassSocLibDif,MassEconLibDif,PolSocLibDif,PolEconLibDif,State1PolSocLib,State1PolEconLib,State1MassSocLib,State1MassEconLib,State2PolSocLib,State2PolEconLib,State2MassSocLib,State2MassEconLib,RaceDif,LatinxDif,WhiteDif,BlackDif,AsianDif,NativeDif,S1Latinx,S1White,S1Black,S1Asian,S1Native,S2Latinx,S2White,S2Black,S2Asian,S2Native,ReligDif,ChristianDif,EvangelicalDif,MainlineDif,BPDif,CatholicDif,MormonDif,JewishDif,MuslimDif,BuddhistDif,HinduDif,NonesDif,NPDif,ReligiosityDif,S1Christian,S1Evangelical,S1Mainline,S1BlackProt,S1Catholic,S1Mormon,S1Jewish,S1Muslim,S1Buddhist,S1Hindu,S1Nones,S1NothingParticular,S1HighlyReligious,S2Christian,S2Evangelical,S2Mainline,S2BlackProt,S2Catholic,S2Mormon,S2Jewish,S2Muslim,S2Buddhist,S2Hindu,S2Nones,S2NothingParticular,S2HighlyReligious
Indiana,Nevada,NV,IN,IN-NV,Midwest,West,0,2871.428776,39.790942,-86.147685,39.160949,-119.753877,919,3628142,6591598,2963456,0,"12,279","$268,308 ",749,"$16,705 ",151132755,200971,347249,146278,-0.19047619,0.25,0.44047619,0.2,0.3,0.47619048,0.4047619,-0.04144385,-0.28460734,0.02673797,-0.32460734,0.06818182,-0.04,0,0,36.046884,-1.867378,-34.179506,-0.07528345,-0.17291041,-0.05660967,0.16888465,-1.26096665,-0.010136883,-0.927307926,0.820920922,-0.69520289,-0.324142761,0.802728443,-0.538310055,0.232105036,-1.145063683,2.063695093,-0.528173172,59.5,-21.9,30.4,0.3,-6.1,-0.8,0.069,0.792,0.092,0.022,0.001,0.288,0.488,0.089,0.083,0.009,30,6,11,6,0,-7,-3,-1,0,0,0,-2,1,5,0.72,0.31,0.16,0.05,0.18,0.01,0.01,0,0,0,0.26,0.19,0.54,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Iowa,Nevada,NV,IA,IA-NV,Midwest,West,0,2224.025528,41.590939,-93.620866,39.160949,-119.753877,874,143424,3106880,2963456,0,"8,029","$180,178 ",536,"$8,327 ",103049631,38905,185183,146278,0.03452381,0.475,0.44047619,0.52,0.43,0.47619048,0.4047619,0.01055834,-0.11079366,0.07874016,-0.15079366,0.06818182,-0.04,2,0,34.076376,-11.476431,-22.599945,-0.17137398,-0.0571148,-0.05660967,0.16888465,-0.472114734,-0.086840507,0.650694908,1.241731602,0.882799944,0.096667919,1.591580359,-0.615013679,0.232105036,-1.145063683,2.063695093,-0.528173172,72,-22.9,37.1,-5.6,-5.7,-0.7,0.059,0.859,0.033,0.026,0.002,0.288,0.488,0.089,0.083,0.009,52,11,8,20,-3,-7,-4,-2,1,0,0,-7,-2,6,0.77,0.28,0.3,0.02,0.18,0,0,0.01,0,0,0.21,0.16,0.55,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Kansas,Nevada,NV,KS,KS-NV,Midwest,West,0,2072.748014,39.04,-95.69,39.160949,-119.753877,785,-86531,2876925,2963456,0,"10,193","$218,620 ",656,"$11,991 ",87733765.4,4298,150576,146278,-0.22847619,0.212,0.44047619,0.2,0.224,0.47619048,0.4047619,-0.14426877,-0.28584271,-0.07608695,-0.32584271,0.06818182,-0.04,15,0,26.899984,-5.28596,-21.614024,-0.10946927,-0.04725559,-0.05660967,0.16888465,-1.196982636,0.020479513,-1.080657642,0.211824897,-0.848552606,-0.933238786,0.866712457,-0.507693659,0.232105036,-1.145063683,2.063695093,-0.528173172,53.1,-16.9,27.1,-3.4,-5.4,-0.3,0.119,0.759,0.055,0.029,0.006,0.288,0.488,0.089,0.083,0.009,50,10,11,14,-3,-7,-3,-2,1,1,0,-8,-4,6,0.76,0.31,0.24,0.02,0.18,0.01,0,0.01,0.01,0,0.2,0.14,0.55,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Kentucky,Nevada,NV,KY,KY-NV,South,West,0,3015.213834,38.197274,-84.86311,39.160949,-119.753877,215,1440823,4404279,2963456,0,"6,566","$150,268 ",458,"$9,622 ",1267008931,50403,196681,146278,-0.03573935,0.40473684,0.44047619,0.28947368,0.52,0.47619048,0.4047619,0.07152406,-0.22666668,0.13970588,-0.26666668,0.06818182,-0.04,29,1,58.261998,7.2779,-50.984098,0.01616933,-0.34095633,-0.05660967,0.16888465,-1.608064211,0.132217835,-1.100752315,0.880922418,-0.868647279,-0.264141265,0.455630882,-0.395955337,0.232105036,-1.145063683,2.063695093,-0.528173172,69.6,-25.3,35.8,-0.9,-6.9,-0.7,0.035,0.846,0.08,0.014,0.002,0.288,0.488,0.089,0.083,0.009,57,10,29,1,0,-15,-4,-2,0,0,0,-6,-4,14,0.76,0.49,0.11,0.05,0.1,0,0,0,0,0,0.22,0.14,0.63,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Louisiana,Nevada,NV,LA,LA-NV,South,West,0,2774.684429,30.45809,-91.140229,39.160949,-119.753877,237,1666506,4629962,2963456,0,"10,153","$202,249 ",835,"$14,741 ",397045494.9,90721,236999,146278,-0.06098901,0.37948718,0.44047619,0.35897436,0.4,0.47619048,0.4047619,-0.132402,-0.40230768,-0.06422018,-0.44230768,0.06818182,-0.04,4,0,51.058261,4.011586,-47.046675,-0.01649381,-0.3015821,-0.05660967,0.16888465,-1.712295028,0.148021643,-1.152704731,0.198472513,-0.920599695,-0.94659117,0.351400065,-0.380151529,0.232105036,-1.145063683,2.063695093,-0.528173172,63.4,-23.6,9.7,23.2,-6.5,-0.4,0.052,0.585,0.321,0.018,0.005,0.288,0.488,0.089,0.083,0.009,49,18,7,-2,17,1,-4,-2,0,1,0,-15,-8,22,0.84,0.27,0.08,0.22,0.26,0,0,0,0.01,0,0.13,0.1,0.71,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Maine,Nevada,NV,ME,ME-NV,Northeast,West,0,4126.829101,44.323535,-69.765261,39.160949,-119.753877,64,-1640865,1322591,2963456,0,"1,980","$43,491 ",109,"$2,369 ",54300484.6,-86983,59295,146278,0.028776415,0.469252605,0.44047619,0.42857143,0.50993378,0.47619048,0.4047619,0.08181819,0.00721312,0.15000001,-0.03278688,0.06818182,-0.04,6,0,24.181692,16.538185,-7.643507,0.10877218,0.09244958,-0.05660967,0.16888465,0.294868776,0.347549716,0.665827349,2.704227366,0.897932385,1.559163683,2.358563869,-0.180623456,0.232105036,-1.145063683,2.063695093,-0.528173172,87,-27.2,44.6,-7.7,-7.2,-0.3,0.016,0.934,0.012,0.011,0.006,0.288,0.488,0.089,0.083,0.009,30,-6,-6,11,-3,-4,-2,0,0,1,0,3,6,-15,0.6,0.14,0.21,0.02,0.21,0.02,0.02,0,0.01,0,0.31,0.24,0.34,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Maryland,Nevada,NV,MD,MD-NV,South,West,0,3701.975974,38.972945,-76.501157,39.160949,-119.753877,1351,3024551,5988007,2963456,0,"7,517","$219,425 ",655,"$17,196 ",167028500.3,236159,382437,146278,0.233282675,0.673758865,0.44047619,0.70212766,0.64539007,0.47619048,0.4047619,0.15838068,-0.09114753,0.2265625,-0.13114753,0.06818182,-0.04,21,0,16.806301,16.407585,-0.398716,0.10746618,0.16489749,-0.05660967,0.16888465,0.047313783,0.675304563,1.705491707,2.21119042,1.937596743,1.066126737,2.111008876,0.147131391,0.232105036,-1.145063683,2.063695093,-0.528173172,43.7,-18.7,1.9,20.5,-1.9,-0.7,0.101,0.507,0.294,0.064,0.002,0.288,0.488,0.089,0.083,0.009,43,3,-2,8,11,-10,-3,1,1,1,1,-5,-1,5,0.69,0.18,0.18,0.16,0.15,0.01,0.03,0.01,0.01,0.01,0.23,0.17,0.54,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Massachusetts,Nevada,NV,MA,MA-NV,Northeast,West,0,4070.460906,42.2352,-71.0275,39.160949,-119.753877,1363,3826342,6789798,2963456,0,"6,694","$188,138 ",533,"$14,427 ",358887285.7,359498,505776,146278,0.35639881,0.796875,0.44047619,0.825,0.76875,0.47619048,0.4047619,0.1329676,0.06824859,0.20114942,0.02824859,0.06818182,-0.04,0,0,39.784799,23.969215,15.815584,0.18308248,0.32704049,-0.05660967,0.16888465,1.078342366,0.580881376,1.706485291,2.984527697,1.938590327,1.839464014,3.142037459,0.052708204,0.232105036,-1.145063683,2.063695093,-0.528173172,44.1,-17,22.7,-1.9,-1.7,-0.8,0.118,0.715,0.07,0.066,0.001,0.288,0.488,0.089,0.083,0.009,34,-8,-11,0,-3,9,-3,1,1,1,1,4,2,-16,0.58,0.09,0.1,0.02,0.34,0.01,0.03,0.01,0.01,0.01,0.32,0.2,0.33,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Michigan,Nevada,NV,MI,MI-NV,Midwest,West,0,2965.078348,42.7335,-84.5467,39.160949,-119.753877,1631,6887874,9851330,2963456,0,"17,797","$395,780 ","1,587","$26,712 ",395439559.6,343960,490238,146278,-0.08664844,0.35382775,0.44047619,0.28947368,0.41818182,0.47619048,0.4047619,0.03526646,-0.15587629,0.10344828,-0.19587629,0.06818182,-0.04,0,0,22.635288,5.585368,-17.04992,-0.00075599,-0.00161455,-0.05660967,0.16888465,-0.589142376,0.164654263,-0.07887555,1.503092454,0.153229486,0.358028771,1.474552717,-0.363518909,0.232105036,-1.145063683,2.063695093,-0.528173172,60.2,-23.7,26.2,4.7,-5.2,-0.4,0.051,0.75,0.136,0.031,0.005,0.288,0.488,0.089,0.083,0.009,34,4,5,8,3,-7,-4,-1,1,1,0,-4,-1,4,0.7,0.25,0.18,0.08,0.18,0,0.01,0.01,0.01,0,0.24,0.17,0.53,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
Minnesota,Nevada,NV,MN,MN-NV,Midwest,West,0,2284.092581,44.95,-93.094,39.160949,-119.753877,997,2547446,5510902,2963456,0,"12,209","$318,808 ",768,"$17,207 ",155829488,192818,339096,146278,0.078180525,0.518656715,0.44047619,0.58208955,0.45522388,0.47619048,0.4047619,-0.00054897,-0.07981567,0.06763285,-0.11981567,0.06818182,-0.04,9,1,14.482026,-3.52686,-10.955166,-0.09187827,0.05933299,-0.05660967,0.16888465,-0.30368931,0.304746383,0.59666348,2.147379408,0.828768516,1.002315725,1.760005783,-0.223426789,0.232105036,-1.145063683,2.063695093,-0.528173172,60.6,-23.5,31.1,-2.5,-3.4,0.1,0.053,0.799,0.064,0.049,0.01,0.288,0.488,0.089,0.083,0.009,39,8,-1,19,-3,-3,-3,-1,1,0,0,-8,-5,0,0.74,0.19,0.29,0.02,0.22,0.01,0.01,0.01,0,0,0.2,0.13,0.49,0.66,0.2,0.1,0.05,0.25,0.04,0.02,0,0,0,0.28,0.18,0.49
